"Buildname","Champion","role","build"
"Most Winning Build","XinZhao","Jungle","1415,3124,3111,3742,3065,3153"
"Most Popular Build","XinZhao","Jungle","1415,3124,3111,3742,3065,3153"
"Most Winning Build","Kayle","Jungle","1403,3115,3124,3006,3085,3135"
"Most Winning Build","Kayle","Top","3115,3124,3006,3085,3116,3026"
"Most Winning Build","Kayle","Middle","3115,3006,3124,3085,3116,3089"
"Most Popular Build","Kayle","Jungle","1403,3006,3115,3124,3085,3116"
"Most Popular Build","Kayle","Top","3115,3006,3124,3085,3116,3026"
"Most Popular Build","Kayle","Middle","3115,3006,3124,3085,3116,3135"
"Most Winning Build","Sivir","ADC","3508,3087,3006,3031,3072,3036"
"Most Popular Build","Sivir","ADC","3508,3006,3087,3031,3072,3036"
"Most Winning Build","Nunu","Jungle","1409,3111,3190,3110,3742,3512"
"Most Popular Build","Nunu","Jungle","1409,3009,3110,3190,3060,3143"
"Most Winning Build","Morgana","Middle","3027,3020,3157,3089,3135,3001"
"Most Winning Build","Morgana","Support","2049,3092,3158,3157,3190,3050"
"Most Popular Build","Morgana","Middle","3027,3020,3157,3089,3135,3001"
"Most Popular Build","Morgana","Support","2049,3092,3158,3157,3190,3110"
"Most Winning Build","Karthus","Middle","3027,3157,3020,3089,3135,3116"
"Most Popular Build","Karthus","Middle","3027,3020,3157,3089,3135,3116"
"Most Winning Build","Shaco","Jungle","3009,1400,3074,3087,3031,3147"
"Most Popular Build","Shaco","Jungle","1400,3009,3074,3087,3031,3026"
"Most Winning Build","Janna","Support","2049,3092,3009,3190,3050,3504"
"Most Popular Build","Janna","Support","2049,3092,3009,3190,3050,3504"
"Most Winning Build","Veigar","Middle","3174,3020,3089,3135,3157,3285"
"Most Popular Build","Veigar","Middle","3165,3020,3089,3135,3157,3116"
"Most Winning Build","Malphite","Top","3068,3025,3111,3001,3143,3075"
"Most Popular Build","Malphite","Top","3068,3047,3025,3001,3075,3742"
"Most Winning Build","JarvanIV","Top","3748,3111,3071,3742,3083,3143"
"Most Winning Build","JarvanIV","Jungle","1400,3047,3071,3742,3156,3022"
"Most Popular Build","JarvanIV","Top","3748,3111,3742,3071,3143,3156"
"Most Popular Build","JarvanIV","Jungle","1400,3047,3071,3742,3156,3190"
"Most Winning Build","LeeSin","Jungle","1408,3009,3071,3742,3156,3102"
"Most Popular Build","LeeSin","Jungle","1408,3009,3742,3156,3143,3075"
"Most Winning Build","Heimerdinger","Top","3060,3009,3512,3116,3135,3151"
"Most Winning Build","Heimerdinger","Middle","3060,3512,3009,3116,3151,3135"
"Most Popular Build","Heimerdinger","Top","3060,3512,3009,3116,3151,3157"
"Most Popular Build","Heimerdinger","Middle","3165,3020,3157,3116,3089,3135"
"Most Winning Build","Gragas","Jungle","1402,3009,3025,3065,3742,3001"
"Most Popular Build","Gragas","Jungle","1410,3009,3025,3065,3742,3075"
"Most Winning Build","Akali","Top","3146,3020,3157,3100,3001,3026"
"Most Winning Build","Akali","Middle","3146,3020,3157,3100,3116,3285"
"Most Popular Build","Akali","Top","3146,3020,3157,3116,3135,3089"
"Most Popular Build","Akali","Middle","3146,3020,3157,3100,3135,3026"
"Most Winning Build","Talon","Middle","3009,3142,3147,3071,3074,3139"
"Most Popular Build","Talon","Middle","3142,3009,3147,3074,3156,3036"
"Most Winning Build","Xerath","Middle","3165,3020,3285,3089,3135,3116"
"Most Popular Build","Xerath","Middle","3165,3020,3285,3089,3135,3157"
"Most Winning Build","Volibear","Top","3068,3111,3742,3065,3083,3053"
"Most Winning Build","Volibear","Jungle","3009,1401,3742,3065,3053,3075"
"Most Popular Build","Volibear","Top","3068,3111,3742,3065,3075,3053"
"Most Popular Build","Volibear","Jungle","1401,3009,3742,3065,3053,3075"
"Most Winning Build","Sejuani","Jungle","1401,3047,3742,3190,3143,3075"
"Most Popular Build","Sejuani","Jungle","1401,3047,3742,3190,3143,3075"
"Most Winning Build","Hecarim","Jungle","3009,1400,3078,3742,3053,3142"
"Most Winning Build","Hecarim","Top","3047,3078,3110,3065,3053,3742"
"Most Popular Build","Hecarim","Jungle","1400,3009,3078,3742,3065,3053"
"Most Popular Build","Hecarim","Top","3009,3078,3110,3065,3053,3026"
"Most Winning Build","Diana","Jungle","1402,3158,3100,3157,3089,3135"
"Most Winning Build","Diana","Middle","3001,3115,3020,3157,3089,3100"
"Most Popular Build","Diana","Jungle","1402,3158,3157,3100,3089,3116"
"Most Popular Build","Diana","Middle","3001,3020,3157,3089,3135,3285"
"Most Winning Build","Gnar","Top","3071,3111,3022,3068,3102,3053"
"Most Popular Build","Gnar","Top","3071,3111,3143,3102,3156,3075"
"Most Winning Build","Jhin","ADC","3031,3094,3009,3508,3036,3139"
"Most Popular Build","Jhin","ADC","3031,3009,3094,3508,3036,3139"
"Most Winning Build","Zed","Middle","3142,3147,3009,3071,3156,3026"
"Most Popular Build","Zed","Middle","3142,3111,3147,3156,3071,3026"
"Most Winning Build","Azir","Middle","3115,3116,3020,3089,3135,3157"
"Most Popular Build","Azir","Middle","3115,3020,3116,3157,3135,3089"
"Most Winning Build","Bard","Support","3009,2049,3092,3190,3050,3110"
