"Champion","role","opponent","win_rate"
"Lissandra","Top","Yorick""","50"
"Lissandra","Top","Urgot""","63.63"
"Lissandra","Top","Mordekaiser""","66.66"
"Lissandra","Top","Galio""","59.25"
"Lissandra","Top","Nunu""","100"
"Lissandra","Top","Aatrox""","47.61"
"Lissandra","Top","Singed""","41.46"
"Lissandra","Top","Rumble""","58.33"
"Lissandra","Top","Cassiopeia""","83.33"
"Lissandra","Top","Swain""","51.85"
"Lissandra","Top","Heimerdinger""","42.85"
"Lissandra","Top","Olaf""","44.44"
"Lissandra","Top","Illaoi""","50"
"Lissandra","Top","Kennen""","50"
"Lissandra","Top","Jayce""","40.98"
"Lissandra","Top","Warwick""","64.28"
"Lissandra","Top","Sion""","41.66"
"Lissandra","Top","Akali""","44.28"
"Lissandra","Top","Teemo""","40.12"
"Lissandra","Top","DrMundo""","52.41"
"Lissandra","Top","Vladimir""","49.19"
"Lissandra","Top","Tryndamere""","41.17"
"Lissandra","Top","Gnar""","50.28"
"Lissandra","Top","Quinn""","50.87"
"Lissandra","Top","TahmKench""","55.22"
"Lissandra","Top","Chogath""","45.88"
"Lissandra","Top","Hecarim""","41.26"
"Lissandra","Top","Fiora""","53.88"
"Lissandra","Top","JarvanIV""","50.66"
"Lissandra","Top","Zac""","17.64"
"Lissandra","Top","Ryze""","47.78"
"Lissandra","Top","MonkeyKing""","36.69"
"Lissandra","Top","Garen""","45.22"
"Lissandra","Top","Kayle""","38.88"
"Lissandra","Top","Pantheon""","37.4"
"Lissandra","Top","Renekton""","52.48"
"Lissandra","Top","Shen""","44.5"
"Lissandra","Top","Rammus""","48.51"
"Lissandra","Top","Nasus""","52.06"
"Lissandra","Top","Rengar""","40.57"
"Lissandra","Top","Volibear""","52.85"
"Lissandra","Top","Gangplank""","40.58"
"Lissandra","Top","Riven""","51.57"
"Lissandra","Top","Poppy""","52.74"
"Lissandra","Top","Lulu""","48.05"
"Lissandra","Top","Darius""","46.7"
"Lissandra","Top","Jax""","45.16"
"Lissandra","Top","Malphite""","48.5"
"Lissandra","Top","Maokai""","44.47"
"Lissandra","Top","Trundle""","46.6"
"Lissandra","Top","Irelia""","42.56"
"Lissandra","Top","Fizz""","36.17"
"Lissandra","Top","Nautilus""","48.67"
"Lissandra","Top","Yasuo""","43.61"
"Lissandra","Top","Graves""","42.34"
"Lissandra","Top","Ekko""","42.72"
"Lissandra","Top","",""
"Lissandra","Middle","Urgot""","66.66"
"Lissandra","Middle","Mordekaiser""","35.71"
"Lissandra","Middle","Galio""","45.23"
"Lissandra","Middle","Karthus""","53.4"
"Lissandra","Middle","Cassiopeia""","56.58"
"Lissandra","Middle","Swain""","48.18"
"Lissandra","Middle","Heimerdinger""","52.94"
"Lissandra","Middle","Ziggs""","49.73"
"Lissandra","Middle","Veigar""","54.28"
"Lissandra","Middle","Kennen""","45.94"
"Lissandra","Middle","Xerath""","51.7"
"Lissandra","Middle","Syndra""","48.4"
"Lissandra","Middle","Jayce""","48.75"
"Lissandra","Middle","Zyra""","46.15"
"Lissandra","Middle","Talon""","45.48"
"Lissandra","Middle","Kassadin""","49.86"
"Lissandra","Middle","Viktor""","49.71"
"Lissandra","Middle","Akali""","46.21"
"Lissandra","Middle","AurelionSol""","46.8"
"Lissandra","Middle","Vladimir""","54.25"
"Lissandra","Middle","Varus""","46.87"
"Lissandra","Middle","Anivia""","46.55"
"Lissandra","Middle","Quinn""","50"
"Lissandra","Middle","Zilean""","50"
"Lissandra","Middle","Chogath""","51.82"
"Lissandra","Middle","Brand""","46.03"
"Lissandra","Middle","Ryze""","55.35"
"Lissandra","Middle","Velkoz""","48.85"
"Lissandra","Middle","Malzahar""","44.19"
"Lissandra","Middle","Kayle""","44.73"
"Lissandra","Middle","Pantheon""","50.79"
"Lissandra","Middle","Katarina""","43.22"
"Lissandra","Middle","Orianna""","53.5"
"Lissandra","Middle","Diana""","45.14"
"Lissandra","Middle","Gangplank""","44.54"
"Lissandra","Middle","Annie""","44.52"
"Lissandra","Middle","Lulu""","44.78"
"Lissandra","Middle","Karma""","50.48"
"Lissandra","Middle","Corki""","51.25"
"Lissandra","Middle","TwistedFate""","46.31"
"Lissandra","Middle","Zed""","48.85"
"Lissandra","Middle","Azir""","47.49"
"Lissandra","Middle","Fizz""","49.81"
"Lissandra","Middle","Ahri""","46.01"
"Lissandra","Middle","Leblanc""","53.51"
"Lissandra","Middle","Lux""","47.33"
"Lissandra","Middle","Morgana""","47.09"
"Lissandra","Middle","Yasuo""","49.5"
"Lissandra","Middle","Ekko""","54.05"
"XinZhao","Jungle","Nunu""","38.59"
"XinZhao","Jungle","Aatrox""","51.78"
"XinZhao","Jungle","Rumble""","53.57"
"XinZhao","Jungle","Skarner""","45.45"
"XinZhao","Jungle","FiddleSticks""","44.27"
"XinZhao","Jungle","Olaf""","62.85"
"XinZhao","Jungle","RekSai""","55.34"
"XinZhao","Jungle","Warwick""","50.14"
"XinZhao","Jungle","Evelynn""","50.23"
"XinZhao","Jungle","Sion""","52.27"
"XinZhao","Jungle","DrMundo""","55.31"
"XinZhao","Jungle","AurelionSol""","57.62"
"XinZhao","Jungle","Sejuani""","52.8"
"XinZhao","Jungle","Tryndamere""","50.66"
"XinZhao","Jungle","Quinn""","53.73"
"XinZhao","Jungle","Chogath""","53.84"
"XinZhao","Jungle","Hecarim""","48.83"
"XinZhao","Jungle","JarvanIV""","56.91"
"XinZhao","Jungle","Zac""","49.65"
"XinZhao","Jungle","Nocturne""","53.49"
"XinZhao","Jungle","MonkeyKing""","53.06"
"XinZhao","Jungle","Kayle""","41.5"
"XinZhao","Jungle","Udyr""","54.15"
"XinZhao","Jungle","Pantheon""","47.1"
"XinZhao","Jungle","Rammus""","52.78"
"XinZhao","Jungle","Shaco""","44.52"
"XinZhao","Jungle","Vi""","50"
"XinZhao","Jungle","Shyvana""","51.69"
"XinZhao","Jungle","Rengar""","51.45"
"XinZhao","Jungle","Diana""","53.05"
"XinZhao","Jungle","Volibear""","45.05"
"XinZhao","Jungle","Amumu""","47.43"
"XinZhao","Jungle","Elise""","52.33"
"XinZhao","Jungle","Nidalee""","49.72"
"XinZhao","Jungle","Poppy""","47.27"
"XinZhao","Jungle","Jax""","54.05"
"XinZhao","Jungle","Kindred""","45.08"
"XinZhao","Jungle","Maokai""","52.34"
"XinZhao","Jungle","MasterYi""","52.47"
"XinZhao","Jungle","Trundle""","54.23"
"XinZhao","Jungle","Khazix""","51.24"
"XinZhao","Jungle","Fizz""","52.97"
"XinZhao","Jungle","Gragas""","53.29"
"XinZhao","Jungle","Graves""","46.37"
"XinZhao","Jungle","Ekko""","48.14"
"XinZhao","Jungle","LeeSin""","54.67"
"Kayle","Top","Yorick""","68.18"
"Kayle","Top","Urgot""","50"
"Kayle","Top","Mordekaiser""","78.94"
