"Name","Opponent","role","winrate"
"XinZhao","Nunu","Jungle","38.59"
"XinZhao","Aatrox","Jungle","51.78"
"XinZhao","Rumble","Jungle","53.57"
"XinZhao","Skarner","Jungle","45.45"
"XinZhao","FiddleSticks","Jungle","44.27"
"XinZhao","Olaf","Jungle","62.85"
"XinZhao","RekSai","Jungle","55.34"
"XinZhao","Warwick","Jungle","50.14"
"XinZhao","Evelynn","Jungle","50.23"
"XinZhao","Sion","Jungle","52.27"
"XinZhao","DrMundo","Jungle","55.31"
"XinZhao","AurelionSol","Jungle","57.62"
"XinZhao","Sejuani","Jungle","52.8"
"XinZhao","Tryndamere","Jungle","50.66"
"XinZhao","Quinn","Jungle","53.73"
"XinZhao","Chogath","Jungle","53.84"
"XinZhao","Hecarim","Jungle","48.83"
"XinZhao","JarvanIV","Jungle","56.91"
"XinZhao","Zac","Jungle","49.65"
"XinZhao","Nocturne","Jungle","53.49"
"XinZhao","MonkeyKing","Jungle","53.06"
"XinZhao","Kayle","Jungle","41.5"
"XinZhao","Udyr","Jungle","54.15"
"XinZhao","Pantheon","Jungle","47.1"
"XinZhao","Rammus","Jungle","52.78"
"XinZhao","Shaco","Jungle","44.52"
"XinZhao","Vi","Jungle","50"
"XinZhao","Shyvana","Jungle","51.69"
"XinZhao","Rengar","Jungle","51.45"
"XinZhao","Diana","Jungle","53.05"
"XinZhao","Volibear","Jungle","45.05"
"XinZhao","Amumu","Jungle","47.43"
"XinZhao","Elise","Jungle","52.33"
"XinZhao","Nidalee","Jungle","49.72"
"XinZhao","Poppy","Jungle","47.27"
"XinZhao","Jax","Jungle","54.05"
"XinZhao","Kindred","Jungle","45.08"
"XinZhao","Maokai","Jungle","52.34"
"XinZhao","MasterYi","Jungle","52.47"
"XinZhao","Trundle","Jungle","54.23"
"XinZhao","Khazix","Jungle","51.24"
"XinZhao","Fizz","Jungle","52.97"
"XinZhao","Gragas","Jungle","53.29"
"XinZhao","Graves","Jungle","46.37"
